2022-10-21 14:17:49,983 |     INFO | 192.168.1.144:50298 | WEBSOCKET
2022-10-21 14:17:50,039 |     INFO | 192.168.1.144:50297 | WEBSOCKET
2022-10-21 14:18:13,666 |     INFO | 192.168.1.144:50327 | WEBSOCKET
2022-10-21 14:20:29,137 |     INFO | 192.168.1.144:50371 | WEBSOCKET
2022-10-21 14:20:29,138 |     INFO | 192.168.1.144:50372 | WEBSOCKET
2022-10-21 14:20:32,554 |     INFO | 192.168.1.144:50372 | WEBSOCKET
2022-10-21 14:21:10,641 |     INFO | 192.168.1.144:50400 | WEBSOCKET
2022-10-21 14:30:39,690 |     INFO | 192.168.1.144:50711 | READ
2022-10-21 14:38:13,049 |     INFO | 192.168.1.119:56402 | READ
2022-10-21 14:38:13,050 |     INFO | 192.168.1.119:56403 | READ
2022-10-21 14:38:19,010 |     INFO | 192.168.1.119:56407 | READ
2022-10-21 14:38:26,591 |     INFO | 192.168.1.119:56410 | READ
2022-10-21 14:49:10,698 |     INFO | 192.168.1.241:52866 | READ
2022-10-21 14:53:09,671 |     INFO | 192.168.1.241:52882 | READ
2022-10-21 15:03:26,669 |     INFO | 192.168.1.241:52909 | READ
2022-10-21 15:05:57,696 |     INFO | 192.168.1.241:52920 | READ
2022-10-21 15:36:30,218 |     INFO | 192.168.1.241:52937 | READ
2022-10-21 15:50:44,525 |     INFO | 192.168.1.241:52973 | READ
2022-10-21 16:10:54,944 |     INFO | 192.168.1.241:52997 | READ
2022-10-21 16:44:20,795 |     INFO | 192.168.1.241:53066 | READ
2022-10-21 17:01:36,682 |     INFO | 192.168.1.144:60077 | READ
2022-10-21 17:01:50,362 |     INFO | 192.168.1.144:49438 | READ
2022-10-21 17:15:23,988 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:25,335 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:26,248 |     INFO | 192.168.1.144:63278 | READ
2022-10-21 17:15:27,042 |     INFO | 192.168.1.144:63278 | READ
